Dates,CCMP Index,NYA Index,US0003M Index,SMART Index,LF94TRUU Index,USTBPETR Index,VIX Index,XAU Curncy,USDJPY Curncy,GBPUSD Curncy,USGG10YR Index,USTBEXP Index
03/01/2000,4131.15,6762.11,6.00125,16890.38,123.7616,-6,24.21,289,101.65,1.6334,6.592,85.142
04/01/2000,3901.69,6543.77,6.0425,16649.32,123.7616,-6,27.01,281.9,103.1,1.6388,6.497,85.142
05/01/2000,3877.54,6567.03,6.03,16752.05,123.7616,-6,26.41,281.05,103.8,1.6446,6.594,85.142
06/01/2000,3727.13,6635.44,6.03,16849.15,123.7616,-6,25.73,280.5,105.21,1.6456,6.524,85.142
07/01/2000,3882.62,6792.67,6.03,16948.74,123.7616,-6,21.72,282.15,105.34,1.6393,6.515,85.142
10/01/2000,4049.67,6838.45,6.02625,16922.64,123.7616,-6,21.71,281.4,105.1,1.6388,6.552,85.142
11/01/2000,3921.19,6774.48,6.03,16817.62,123.7616,-6,22.5,283.25,105.86,1.646,6.657,85.142
12/01/2000,3850.02,6766.55,6.03938,16799.78,123.7616,-6,22.84,281.7,105.96,1.6464,6.703,85.142
13/01/2000,3957.21,6836.76,6.04,16812.03,123.7616,-6,21.71,283.6,106.08,1.6468,6.63,85.142
14/01/2000,4064.27,6870.49,6.04,16816.69,123.7616,-6,19.66,283.95,105.87,1.6313,6.679,85.142
17/01/2000,4064.27,6870.49,6.03625,16816.69,123.7616,-6,19.66,285.5,104.93,1.6318,6.681,85.142
18/01/2000,4130.81,6808.64,6.035,16745.6,123.7616,-6,21.5,287.65,105.47,1.6383,6.748,85.142
19/01/2000,4151.29,6823.97,6.0375,16698.44,123.7616,-6,21.72,287.55,105.26,1.6451,6.732,85.142
20/01/2000,4189.51,6772.58,6.04,16552.93,123.7616,-6,21.75,289.3,105.45,1.6565,6.788,85.142
21/01/2000,4235.4,6762.75,6.04,16508.25,123.7616,-6,20.82,289.05,104.78,1.6487,6.765,85.142
24/01/2000,4096.08,6611.12,6.04,16250.74,123.7616,-6,24.07,286.85,105.61,1.6506,6.685,85.142
25/01/2000,4167.41,6606.78,6.04,16245.31,123.7616,-6,23.02,287.15,106.04,1.6496,6.692,85.142
26/01/2000,4069.91,6644.85,6.04,16180.59,123.7616,-6,23.03,285.2,105.83,1.6363,6.664,85.142
27/01/2000,4039.56,6627.19,6.04,16087.2,123.7616,-6,23.54,286.1,104.93,1.6353,6.692,85.142
28/01/2000,3887.07,6469.11,6.04875,15838.69,123.7616,-6,26.14,283.05,107.13,1.6201,6.658,85.142
31/01/2000,3940.35,6574.01,6.0775,16019.71,122.3281,-6.988,24.95,283.6,107.37,1.6141,6.665,85.646
01/02/2000,4051.98,6606.89,6.09125,16097.96,122.3281,-6.988,23.45,282.75,107.85,1.6106,6.619,85.646
02/02/2000,4073.96,6618.41,6.1,16053.59,122.3281,-6.988,23.12,285.15,108.34,1.6082,6.573,85.646
03/02/2000,4210.98,6657.54,6.0975,16040.09,122.3281,-6.988,22.01,286.25,107.63,1.5964,6.489,85.646
04/02/2000,4244.14,6628.67,6.09,15992,122.3281,-6.988,21.54,299.2,107.19,1.5918,6.549,85.646
07/02/2000,4321.77,6596.32,6.1,16015.43,122.3281,-6.988,22.79,314.6,108.74,1.5949,6.639,85.646
08/02/2000,4427.54,6651.3,6.1,15985.1,122.3281,-6.988,21.25,298.4,109.3,1.6108,6.613,85.646
